Ticker,Date/Time,Open,High,Low,Close
NIFTYMIDCAP100,10/3/2016,15546.05,15862.1,15537.7,15851.15
NIFTYMIDCAP100,10/4/2016,15910.3,16009.3,15848.25,15979.95
NIFTYMIDCAP100,10/5/2016,16053.5,16100.15,15968.45,16076.3
NIFTYMIDCAP100,10/6/2016,16134.9,16169.1,15894.75,15988.3
NIFTYMIDCAP100,10/7/2016,16031.3,16068.2,15892.7,15972.3
NIFTYMIDCAP100,10/10/2016,16041.9,16097.35,15975.8,15992.55
NIFTYMIDCAP100,10/13/2016,15970.9,15972.85,15638.55,15779.4
NIFTYMIDCAP100,10/14/2016,15825.8,15911.7,15767.5,15894.95
NIFTYMIDCAP100,10/17/2016,15937,15940,15673.25,15712.95
NIFTYMIDCAP100,10/18/2016,15782.45,15957.25,15781.45,15946.75
NIFTYMIDCAP100,10/19/2016,15994.3,15995,15880.65,15934.25
NIFTYMIDCAP100,10/20/2016,16017.45,16058.1,15975.05,15994.8
NIFTYMIDCAP100,10/21/2016,16022.95,16082.7,15957.9,16071.1
NIFTYMIDCAP100,10/24/2016,16111.4,16120.25,15991.35,16007.5
NIFTYMIDCAP100,10/25/2016,16012.8,16028.55,15911.8,15991.2
NIFTYMIDCAP100,10/26/2016,15964.6,16029.85,15754.3,15791.15
NIFTYMIDCAP100,10/27/2016,15726.4,15748.1,15549.4,15632.4
NIFTYMIDCAP100,10/28/2016,15682.9,15853.35,15680.1,15841.35
NIFTYMIDCAP100,10/30/2016,15936.9,15942.2,15894.55,15912.3
NIFTYMIDCAP100,11/1/2016,15955.4,16033.5,15896,15933.5
NIFTYMIDCAP100,11/2/2016,15787.2,15787.2,15578.9,15598.8
NIFTYMIDCAP100,11/3/2016,15572.4,15720.15,15394.45,15420.8
NIFTYMIDCAP100,11/4/2016,15437.6,15447.05,15066.25,15192.6
NIFTYMIDCAP100,11/7/2016,15365.1,15454.2,15323.9,15354.9
NIFTYMIDCAP100,11/8/2016,15421.95,15433.45,15279.85,15398.25
NIFTYMIDCAP100,11/9/2016,14445.35,15119.8,14089.45,15086.45
NIFTYMIDCAP100,11/10/2016,15342.5,15550.55,15337.85,15391.45
NIFTYMIDCAP100,11/11/2016,15239.3,15304.4,14805.1,14854.7
NIFTYMIDCAP100,11/15/2016,14879.25,14879.25,14172.85,14303.2
NIFTYMIDCAP100,11/16/2016,14493.85,14551.75,14159.25,14294.75
NIFTYMIDCAP100,11/17/2016,14320,14399.75,14220.8,14290.15
NIFTYMIDCAP100,11/18/2016,14341.9,14392.4,14213.2,14363
NIFTYMIDCAP100,11/21/2016,14424.45,14435.95,13933.4,13957.25
NIFTYMIDCAP100,11/22/2016,14059.45,14200.6,13938.95,14163.45
NIFTYMIDCAP100,11/23/2016,14273.45,14352.85,14136.95,14334.3
NIFTYMIDCAP100,11/24/2016,14262.3,14383.95,14204.85,14310.45
NIFTYMIDCAP100,11/25/2016,14380.75,14548.2,14334.45,14529.75
NIFTYMIDCAP100,11/28/2016,14518,14694.35,14497.05,14623.55
NIFTYMIDCAP100,11/29/2016,14677.25,14794.75,14669.4,14703.65
NIFTYMIDCAP100,11/30/2016,14779.25,14922.2,14769.6,14907.1
NIFTYMIDCAP100,12/1/2016,14964.2,14966.2,14718.1,14726.4
NIFTYMIDCAP100,12/2/2016,14636.95,14690.5,14483.7,14514.85
NIFTYMIDCAP100,12/5/2016,14538.9,14626.05,14497.55,14608.7
NIFTYMIDCAP100,12/6/2016,14689.15,14760.2,14669.6,14684.35
NIFTYMIDCAP100,12/7/2016,14759.05,14767.15,14538.3,14621.75
NIFTYMIDCAP100,12/8/2016,14729.55,14860.15,14725.5,14848.35
NIFTYMIDCAP100,12/9/2016,14920.4,14941.1,14858.85,14931.4
NIFTYMIDCAP100,12/12/2016,14927.25,14928.8,14716.6,14759.35
NIFTYMIDCAP100,12/13/2016,14791.25,14795.45,14652.9,14712.5
NIFTYMIDCAP100,12/14/2016,14745.05,14760.6,14610.45,14622.9
NIFTYMIDCAP100,12/15/2016,14516.1,14756,14510.45,14679.55
NIFTYMIDCAP100,12/16/2016,14724.45,14731.05,14585.5,14620.2
NIFTYMIDCAP100,12/19/2016,14633.85,14637.2,14526.4,14544.25
NIFTYMIDCAP100,12/20/2016,14554.3,14573.65,14308.1,14338.7
NIFTYMIDCAP100,12/21/2016,14398.45,14416.85,14320.4,14342.65
NIFTYMIDCAP100,12/22/2016,14315.65,14320.2,14111.85,14136.05
NIFTYMIDCAP100,12/23/2016,14144.15,14182.95,13998.35,14077.6
NIFTYMIDCAP100,12/26/2016,14067.25,14067.55,13748.6,13761.85
NIFTYMIDCAP100,12/27/2016,13771.7,13992.05,13658.15,13972.3
NIFTYMIDCAP100,12/28/2016,14025.75,14171.85,14017.05,14034.7
NIFTYMIDCAP100,12/29/2016,14051.35,14268.7,14023.6,14238.6
NIFTYMIDCAP100,12/30/2016,14287.25,14403.6,14280.65,14351.45
NIFTYMIDCAP100,1/2/2017,14417.15,14498.25,14323.25,14483.25
NIFTYMIDCAP100,1/3/2017,14524.4,14619.75,14486.55,14609.85
NIFTYMIDCAP100,1/4/2017,14653.55,14746.2,14648.15,14681.25
NIFTYMIDCAP100,1/5/2017,14764.6,14885.85,14762.55,14876.15
NIFTYMIDCAP100,1/6/2017,14931.75,14995.8,14833.9,14854.2
NIFTYMIDCAP100,1/9/2017,14903.6,14916.25,14839.3,14873.45
NIFTYMIDCAP100,1/10/2017,14919.3,14993.1,14882.15,14984.3
NIFTYMIDCAP100,1/11/2017,15048.1,15178.8,15042.25,15159.75
NIFTYMIDCAP100,1/12/2017,15176.9,15211.6,15092.7,15192.9
NIFTYMIDCAP100,1/13/2017,15250.8,15268.85,15116.6,15178.65
NIFTYMIDCAP100,1/16/2017,15177.65,15254.75,15126.1,15239.35
NIFTYMIDCAP100,1/17/2017,15265.6,15341,15201.75,15243.3
NIFTYMIDCAP100,1/18/2017,15277.35,15385.2,15269.85,15329.65
NIFTYMIDCAP100,1/19/2017,15339.7,15384.5,15284.7,15370.2
NIFTYMIDCAP100,1/20/2017,15354.95,15387.25,15096.15,15117.15
NIFTYMIDCAP100,1/23/2017,15111.65,15220.4,15084.55,15188.75
NIFTYMIDCAP100,1/24/2017,15247.05,15359.1,15201.6,15339.25
NIFTYMIDCAP100,1/25/2017,15424.7,15520.2,15363.9,15506.8
NIFTYMIDCAP100,1/27/2017,15543.25,15697.7,15534,15641.35
NIFTYMIDCAP100,1/30/2017,15638.3,15685.1,15566.9,15638.65
NIFTYMIDCAP100,1/31/2017,15657.2,15658.4,15398.75,15413.7
NIFTYMIDCAP100,2/1/2017,15445.3,15739.9,15402.15,15726.15
NIFTYMIDCAP100,2/2/2017,15743.85,15860.15,15696.1,15831.55
NIFTYMIDCAP100,2/3/2017,15872.1,16047.6,15872,16035.2
NIFTYMIDCAP100,2/6/2017,16135.7,16225.2,16112.6,16174
NIFTYMIDCAP100,2/7/2017,16212.8,16237,16023.3,16101.7
NIFTYMIDCAP100,2/8/2017,16150.8,16203.05,15999.75,16175.3
NIFTYMIDCAP100,2/9/2017,16225.45,16291.9,16105.7,16246.35
NIFTYMIDCAP100,2/10/2017,16302.9,16315.75,16175.55,16227.7
NIFTYMIDCAP100,2/13/2017,16272.6,16292.1,16001,16131.3
NIFTYMIDCAP100,2/14/2017,16166.4,16170.15,16037.1,16092
NIFTYMIDCAP100,2/15/2017,16091.15,16105.95,15814.6,15833.85
NIFTYMIDCAP100,2/16/2017,15850.4,16120.6,15769.7,16095.7
NIFTYMIDCAP100,2/17/2017,16176.7,16209.85,16076.4,16169.3
NIFTYMIDCAP100,2/20/2017,16198.2,16367.55,16172.5,16349.95
NIFTYMIDCAP100,2/21/2017,16389.3,16479.4,16384.9,16452.5
NIFTYMIDCAP100,2/22/2017,16497.55,16510.05,16320.95,16353.5
NIFTYMIDCAP100,2/23/2017,16359.45,16419.7,16340.55,16357.65
NIFTYMIDCAP100,2/27/2017,16355.35,16428.4,16346.65,16377.4
NIFTYMIDCAP100,2/28/2017,16416.2,16495.85,16401.8,16480.5
NIFTYMIDCAP100,3/1/2017,16557.45,16604.8,16523.4,16539.3
NIFTYMIDCAP100,3/2/2017,16614.9,16632.7,16258.4,16289.1
NIFTYMIDCAP100,3/3/2017,16268.05,16379.5,16242.95,16364.05
NIFTYMIDCAP100,3/6/2017,16420,16474.75,16396.75,16464.5
NIFTYMIDCAP100,3/7/2017,16497.1,16505.4,16427,16469.75
NIFTYMIDCAP100,3/8/2017,16480.45,16483.05,16255.65,16362.8
NIFTYMIDCAP100,3/9/2017,16343.9,16414.4,16309.2,16333.15
NIFTYMIDCAP100,3/10/2017,16384,16435,16258.65,16291.2
NIFTYMIDCAP100,3/14/2017,16581.15,16590.65,16433.05,16526.9
NIFTYMIDCAP100,3/15/2017,16563.65,16708.15,16543.1,16663.8
NIFTYMIDCAP100,3/16/2017,16746.25,16903.25,16741.2,16893.3
NIFTYMIDCAP100,3/17/2017,16947.4,16962,16800.45,16901.7
NIFTYMIDCAP100,3/20/2017,16959.45,16975.4,16900.55,16962.25
NIFTYMIDCAP100,3/21/2017,17009.65,17009.65,16824.35,16926.05
NIFTYMIDCAP100,3/22/2017,16823.8,16826.2,16688.5,16721.8
NIFTYMIDCAP100,3/23/2017,16786.95,16906.65,16785.1,16893.05
NIFTYMIDCAP100,3/24/2017,16928.35,17016.95,16920.4,16936.1
NIFTYMIDCAP100,3/27/2017,16944.4,16969.7,16868,16928.15
NIFTYMIDCAP100,3/28/2017,16989.5,17056.3,16975,17034.3
NIFTYMIDCAP100,3/29/2017,17066.2,17086.05,16996.7,17054.4
NIFTYMIDCAP100,3/30/2017,17069.05,17148.6,17062.65,17110.3
NIFTYMIDCAP100,3/31/2017,17147.4,17221.65,17131.65,17197.15
NIFTYMIDCAP100,4/3/2017,17256.25,17341.45,17242,17332.9
NIFTYMIDCAP100,4/5/2017,17378.3,17478.95,17352.1,17467.1
NIFTYMIDCAP100,4/6/2017,17447.8,17489.55,17377.8,17469.3
NIFTYMIDCAP100,4/7/2017,17424.45,17576.6,17358.1,17398.15
NIFTYMIDCAP100,4/10/2017,17452.2,17518.65,17367.45,17472.1
NIFTYMIDCAP100,4/11/2017,17495.85,17709.7,17495.85,17700.1
NIFTYMIDCAP100,4/12/2017,17728.4,17751.6,17433.8,17595.4
NIFTYMIDCAP100,4/13/2017,17597.5,17646.5,17530.2,17550.3
NIFTYMIDCAP100,4/17/2017,17560.2,17642.1,17486.05,17629.9
NIFTYMIDCAP100,4/18/2017,17685,17845.7,17492,17510.65
NIFTYMIDCAP100,4/19/2017,17505.65,17658.2,17455.55,17636.1
NIFTYMIDCAP100,4/20/2017,17702.3,17816.1,17690.3,17796.1
NIFTYMIDCAP100,4/21/2017,17876.1,17908.75,17717.85,17800.35
NIFTYMIDCAP100,4/24/2017,17855.4,17931.3,17847.7,17910.25
NIFTYMIDCAP100,4/25/2017,18000.5,18074.3,17977.45,18062.2
NIFTYMIDCAP100,4/26/2017,18128.7,18167.1,17836.3,18022.6
NIFTYMIDCAP100,4/27/2017,18068.45,18091.7,17989.3,18006.55
NIFTYMIDCAP100,4/28/2017,18029.45,18110.25,18001.1,18086.45
NIFTYMIDCAP100,5/2/2017,18143.35,18214.8,18040.95,18187.8
NIFTYMIDCAP100,5/3/2017,18243.05,18271.25,18100.5,18126.2
NIFTYMIDCAP100,5/4/2017,18171.05,18241.7,18146.2,18228.25
NIFTYMIDCAP100,5/5/2017,18242.95,18250.75,17948.9,18048.6
NIFTYMIDCAP100,5/8/2017,18109.75,18194.65,18074.7,18162.85
NIFTYMIDCAP100,5/9/2017,18205.8,18279.3,18170.75,18255.5
NIFTYMIDCAP100,5/10/2017,18321,18408.35,18317.3,18357
NIFTYMIDCAP100,5/11/2017,18419.15,18461.95,18323.45,18361.4
NIFTYMIDCAP100,5/12/2017,18391.65,18401.55,18161.75,18240.4
