Ticker,Date,Close
MIDCPNIFTY,2020-04-09,3100.93
NIFTY,2020-04-09,9111.9
BANKNIFTY,2020-04-13,19488
MIDCPNIFTY,2020-04-13,3022.43
NIFTY,2020-04-13,8993.85
BANKNIFTY,2020-04-15,19057.05
MIDCPNIFTY,2020-04-15,3073
NIFTY,2020-04-15,8925.3
BANKNIFTY,2020-04-16,19400
MIDCPNIFTY,2020-04-16,3165.96
NIFTY,2020-04-16,8992.8
BANKNIFTY,2020-04-17,20681.45
MIDCPNIFTY,2020-04-17,3251
NIFTY,2020-04-17,9266.75
BANKNIFTY,2020-04-20,20522.65
MIDCPNIFTY,2020-04-20,3252.37
NIFTY,2020-04-20,9261.85
BANKNIFTY,2020-04-21,19409.35
MIDCPNIFTY,2020-04-21,3121.5
NIFTY,2020-04-21,8981.45
BANKNIFTY,2020-04-22,19701.85
MIDCPNIFTY,2020-04-22,3156.09
NIFTY,2020-04-22,9187.3
BANKNIFTY,2020-04-23,20267.95
MIDCPNIFTY,2020-04-23,3191.21
NIFTY,2020-04-23,9313.9
BANKNIFTY,2020-04-24,19586.65
MIDCPNIFTY,2020-04-24,3097.59
NIFTY,2020-04-24,9154.4
BANKNIFTY,2020-04-27,20081.15
MIDCPNIFTY,2020-04-27,3162.99
NIFTY,2020-04-27,9282.3
BANKNIFTY,2020-04-28,20671.1
MIDCPNIFTY,2020-04-28,3222.22
NIFTY,2020-04-28,9380.9
BANKNIFTY,2020-04-29,21090.2
MIDCPNIFTY,2020-04-29,3267.67
NIFTY,2020-04-29,9553.35
BANKNIFTY,2020-04-30,21534.5
MIDCPNIFTY,2020-04-30,3325.37
NIFTY,2020-04-30,9859.9
BANKNIFTY,2020-05-04,19743.75
MIDCPNIFTY,2020-05-04,3162.22
NIFTY,2020-05-04,9293.5
BANKNIFTY,2020-05-05,19271.75
MIDCPNIFTY,2020-05-05,3125.05
NIFTY,2020-05-05,9205.6
BANKNIFTY,2020-05-06,19694.55
MIDCPNIFTY,2020-05-06,3175.13
NIFTY,2020-05-06,9270.9
BANKNIFTY,2020-05-07,19491.8
MIDCPNIFTY,2020-05-07,3152.57
NIFTY,2020-05-07,9199.05
BANKNIFTY,2020-05-08,19352.9
MIDCPNIFTY,2020-05-08,3160.19
NIFTY,2020-05-08,9251.5
BANKNIFTY,2020-05-11,18950.5
MIDCPNIFTY,2020-05-11,3199.95
NIFTY,2020-05-11,9239.2
BANKNIFTY,2020-05-12,18862.85
MIDCPNIFTY,2020-05-12,3181.08
NIFTY,2020-05-12,9196.55
BANKNIFTY,2020-05-13,19634.95
MIDCPNIFTY,2020-05-13,3259.01
NIFTY,2020-05-13,9383.55
BANKNIFTY,2020-05-14,19068.5
MIDCPNIFTY,2020-05-14,3222.31
NIFTY,2020-05-14,9142.75
BANKNIFTY,2020-05-15,18833.95
MIDCPNIFTY,2020-05-15,3219.55
NIFTY,2020-05-15,9136.85
BANKNIFTY,2020-05-18,17573.2
MIDCPNIFTY,2020-05-18,3042.74
NIFTY,2020-05-18,8823.25
BANKNIFTY,2020-05-19,17486.25
MIDCPNIFTY,2020-05-19,3056.98
NIFTY,2020-05-19,8879.1
BANKNIFTY,2020-05-20,17840.2
MIDCPNIFTY,2020-05-20,3110.66
NIFTY,2020-05-20,9066.55
BANKNIFTY,2020-05-21,17735.1
MIDCPNIFTY,2020-05-21,3133.12
NIFTY,2020-05-21,9106.25
BANKNIFTY,2020-05-22,17278.9
